gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2447991246,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/35095004,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,40.944565,-73.721701,8,,,,,,2019-10-30T14:26:09Z,30,10,2019,2706026,2706026,HUMAN_OBSERVATION,iNaturalist,Observations,35095004,,,2019-10-30T18:28:30Z,CC_BY_NC_4_0,jzeiger05,jzeiger05,,,2019-11-08T01:24:32.504Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2447970135,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/35009887,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.23813,-73.669044,8,,,,,,2019-10-25T11:46:34Z,25,10,2019,2706026,2706026,HUMAN_OBSERVATION,iNaturalist,Observations,35009887,,,2019-10-28T15:18:30Z,CC_BY_NC_4_0,jzeiger05,jzeiger05,,,2019-11-08T01:24:19.097Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2447945342,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/34926992,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,,US,,New Jersey,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,40.546105,-74.621733,33,,,,,,2019-10-26T15:49:00Z,26,10,2019,2706026,2706026,HUMAN_OBSERVATION,iNaturalist,Observations,34926992,,,2019-10-27T14:42:49Z,CC_BY_NC_4_0,sarahs0922,sarahs0922,,,2019-11-08T01:23:55.435Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2447928237,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/34856383,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,,US,,Maine,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.584885,-70.223915,,,,,,,2019-10-22T11:39:08Z,22,10,2019,2706026,2706026,HUMAN_OBSERVATION,iNaturalist,Observations,34856383,,,2019-10-25T02:05:59Z,CC_BY_NC_4_0,cschorn,cschorn,,,2019-11-08T01:23:37.187Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2447845501,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/34302618,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,,US,,Delaware,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,39.811173,-75.48182,41,,,,,,2019-10-13T10:20:47Z,13,10,2019,2706026,2706026,HUMAN_OBSERVATION,iNaturalist,Observations,34302618,,,2019-10-13T14:21:15Z,CC_BY_NC_4_0,gutschow,gutschow,,,2019-11-08T01:22:42.719Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2447818664,7f5e4129-0717-428e-876a-464fbd5d9a47,Natuurpunt:Waarnemingen:180269910,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sacchariflorus,,SPECIES,Miscanthus sacchariflorus (Maxim.) Hack.,Miscanthus sacchariflorus,(Maxim.) Hack.,BE,,Flemish Brabant,,1,4d3ceea8-5699-439d-a899-decac9cbbdac,51.02962,5.11643,25,,,,,,2019-09-27T00:00:00Z,27,9,2019,2706023,7738766,HUMAN_OBSERVATION,Natuurpunt,,,,,,CC_BY_NC_4_0,Natuurpunt Studie,,,,2019-11-07T13:42:26.122Z,,
2447818620,7f5e4129-0717-428e-876a-464fbd5d9a47,Natuurpunt:Waarnemingen:180270225,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sacchariflorus,,SPECIES,Miscanthus sacchariflorus (Maxim.) Hack.,Miscanthus sacchariflorus,(Maxim.) Hack.,BE,,Flemish Brabant,,1,4d3ceea8-5699-439d-a899-decac9cbbdac,51.02143,5.11094,7,,,,,,2019-09-27T00:00:00Z,27,9,2019,2706023,7738766,HUMAN_OBSERVATION,Natuurpunt,,,,,,CC_BY_NC_4_0,Natuurpunt Studie,,,,2019-11-07T13:42:25.712Z,,
2447818407,7f5e4129-0717-428e-876a-464fbd5d9a47,Natuurpunt:Waarnemingen:180304041,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,Andersson,BE,,Antwerp,,1,4d3ceea8-5699-439d-a899-decac9cbbdac,51.26282,4.80492,5,,,,,,2019-09-30T00:00:00Z,30,9,2019,2706026,2706026,HUMAN_OBSERVATION,Natuurpunt,,,,,,CC_BY_NC_4_0,Natuurpunt Studie,,,,2019-11-07T13:42:23.165Z,,
2447818405,7f5e4129-0717-428e-876a-464fbd5d9a47,Natuurpunt:Waarnemingen:180873223,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,Andersson,BE,,East Flanders,,1,4d3ceea8-5699-439d-a899-decac9cbbdac,50.84774,3.64225,60,,,,,,2019-10-11T00:00:00Z,11,10,2019,2706026,2706026,HUMAN_OBSERVATION,Natuurpunt,,,,,,CC_BY_NC_4_0,Natuurpunt Studie,,,,2019-11-07T13:42:23.166Z,,
2445129001,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/34640509,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,,US,,Virginia,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.683317,-77.417908,,,,,,,2019-10-19T15:50:00Z,19,10,2019,2706026,2706026,HUMAN_OBSERVATION,iNaturalist,Observations,34640509,,,2019-10-20T17:13:31Z,CC_BY_NC_4_0,stephen,stephen,,,2019-10-31T16:10:39.600Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
